species,form,acquisition_method,map,encounter_type,badge_requirement,rate,evolution_source,quest,notes
SPECIES_BRUTE_BONNET,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_BRUXISH,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_BUDEW,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_BUNNELBY,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_BURMY,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_BUZZWOLE,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_CACNEA,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_CALYREX,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_CAPSAKID,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_CARBINK,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_CARNIVINE,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_CARVANHA,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_CASTFORM,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_CELEBI,,wild reserve,THREE_ISLAND_BERRY_FOREST,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_CELESTEELA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_CETODDLE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_CHARCADET,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_CHATOT,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_CHERUBI,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_CHESPIN,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_CHEWTLE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_CHIEN_PAO,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_CHIKORITA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_CHIMCHAR,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_CHINCHOU,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_CHINGLING,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_CHI_YU,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_CLAMPERL,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_CLAUNCHER,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_CLOBBOPUS,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_CLODSIRE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_COBALION,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_COMBEE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_COMFEY,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_CORPHISH,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_CORSOLA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_COSMOG,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_COTTONEE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_CRABRAWLER,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_CRAMORANT,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_CRANIDOS,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_CRESSELIA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_CROAGUNK,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_CRYOGONAL,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_CUBCHOO,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_CUFANT,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_CURSOLA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_CYCLIZAR,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_CYNDAQUIL,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_DARKRAI,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_DARUMAKA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_DEDENNE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_DEINO,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_DEOXYS,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_DEWPIDER,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_DHELMISE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_DIALGA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_DIANCIE,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_DONDOZO,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_DRACOVISH,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_DRACOZOLT,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_DRAMPA,,wild reserve,FOUR_ISLAND_ICEFALL_CAVE_1F,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_DRILBUR,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_DRUDDIGON,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_DUCKLETT,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_DURALUDON,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_DURANT,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_DUSKULL,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_DWEBBLE,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_EISCUE,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_ELEKID,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_ELGYEM,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_EMOLGA,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_ENAMORUS,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_ENTEI,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_ESPURR,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_ETERNATUS,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_FALINKS,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_FEEBAS,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_FENNEKIN,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_FERROSEED,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_FEZANDIPITI,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_FIDOUGH,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_FINIZEN,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_FINNEON,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_FLAMIGO,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_FLETCHLING,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_FLITTLE,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_FLUTTER_MANE,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
SPECIES_FOMANTIS,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 4
SPECIES_FOONGUS,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 5
SPECIES_FRILLISH,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 6
SPECIES_FROAKIE,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 7
SPECIES_FUECOCO,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,evening deterministic slot 8
SPECIES_FURFROU,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 9
SPECIES_GENESECT,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,evening deterministic slot 10
SPECIES_GIBLE,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 11
SPECIES_GIMMIGHOUL,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,evening deterministic slot 12
SPECIES_GIRAFARIG,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 1
SPECIES_GIRATINA,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,20,,Gen 9 Sevii Reserve,night deterministic slot 2
SPECIES_GLASTRIER,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 3
SPECIES_GLIGAR,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 4
SPECIES_GLIMMET,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 5
SPECIES_GOLETT,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,10,,Gen 9 Sevii Reserve,night deterministic slot 6
SPECIES_GOOMY,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 7
SPECIES_GOTHITA,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,5,,Gen 9 Sevii Reserve,night deterministic slot 8
SPECIES_GOUGING_FIRE,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 9
SPECIES_GREAT_TUSK,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,4,,Gen 9 Sevii Reserve,night deterministic slot 10
SPECIES_GREAVARD,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 11
SPECIES_GROOKEY,,wild reserve,SIX_ISLAND_PATTERN_BUSH,land,8 + game clear,1,,Gen 9 Sevii Reserve,night deterministic slot 12
SPECIES_GROUDON,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 1
SPECIES_GRUBBIN,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,morning deterministic slot 2
SPECIES_GULPIN,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 3
SPECIES_GUZZLORD,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 4
SPECIES_HAPPINY,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 5
SPECIES_HATENNA,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,morning deterministic slot 6
SPECIES_HAWLUCHA,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 7
SPECIES_HEATMOR,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,morning deterministic slot 8
SPECIES_HEATRAN,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 9
SPECIES_HELIOPTILE,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,morning deterministic slot 10
SPECIES_HIPPOPOTAS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 11
SPECIES_HONEDGE,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,morning deterministic slot 12
SPECIES_HOOPA,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 1
SPECIES_HO_OH,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,day deterministic slot 2
SPECIES_IGGLYBUFF,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 3
SPECIES_ILLUMISE,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 4
SPECIES_IMPIDIMP,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 5
SPECIES_INDEEDEE,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,day deterministic slot 6
SPECIES_INKAY,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 7
SPECIES_IRON_BOULDER,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,5,,Gen 9 Sevii Reserve,day deterministic slot 8
SPECIES_IRON_BUNDLE,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 9
SPECIES_IRON_CROWN,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,4,,Gen 9 Sevii Reserve,day deterministic slot 10
SPECIES_IRON_HANDS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 11
SPECIES_IRON_JUGULIS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,1,,Gen 9 Sevii Reserve,day deterministic slot 12
SPECIES_IRON_LEAVES,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 1
SPECIES_IRON_MOTH,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,20,,Gen 9 Sevii Reserve,evening deterministic slot 2
SPECIES_IRON_THORNS,,wild reserve,FIVE_ISLAND_LOST_CAVE_ROOM1,land,8 + game clear,10,,Gen 9 Sevii Reserve,evening deterministic slot 3
