order,source,method,param,target,prerequisite,status
90,SPECIES_MAGNETON,EVO_MAP,MAPSEC_THUNDERCAP_MOUNTAIN,SPECIES_MAGNEZONE,0,offline_capable
91,SPECIES_MAGNETON,EVO_ITEM,ITEM_THUNDER_STONE,SPECIES_MAGNEZONE,0,offline_capable
92,SPECIES_DODUO,EVO_LEVEL,31,SPECIES_DODRIO,0,offline_capable
93,SPECIES_SEEL,EVO_LEVEL,34,SPECIES_DEWGONG,0,offline_capable
94,SPECIES_GRIMER,EVO_LEVEL,38,SPECIES_MUK,0,offline_capable
95,SPECIES_SHELLDER,EVO_ITEM,ITEM_WATER_STONE,SPECIES_CLOYSTER,0,offline_capable
96,SPECIES_GASTLY,EVO_LEVEL,25,SPECIES_HAUNTER,0,offline_capable
97,SPECIES_HAUNTER,EVO_TRADE,0,SPECIES_GENGAR,0,offline_capable
98,SPECIES_HAUNTER,EVO_ITEM,ITEM_LINK_CABLE,SPECIES_GENGAR,0,offline_capable
99,SPECIES_GENGAR,EVO_MEGA,ITEM_GENGARITE,SPECIES_GENGAR_MEGA,MEGA_VARIANT_STANDARD,transformation
100,SPECIES_GENGAR,EVO_GIGANTAMAX,TRUE,SPECIES_GENGAR_GIGA,0,transformation
101,SPECIES_ONIX,EVO_TRADE_ITEM,ITEM_METAL_COAT,SPECIES_STEELIX,0,offline_capable
102,SPECIES_ONIX,EVO_ITEM,ITEM_METAL_COAT,SPECIES_STEELIX,0,offline_capable
103,SPECIES_DROWZEE,EVO_LEVEL,26,SPECIES_HYPNO,0,offline_capable
104,SPECIES_KRABBY,EVO_LEVEL,28,SPECIES_KINGLER,0,offline_capable
105,SPECIES_KINGLER,EVO_GIGANTAMAX,TRUE,SPECIES_KINGLER_GIGA,0,transformation
106,SPECIES_VOLTORB,EVO_LEVEL,30,SPECIES_ELECTRODE,0,offline_capable
107,SPECIES_EXEGGCUTE,EVO_ITEM,ITEM_LEAF_STONE,SPECIES_EXEGGUTOR,0,offline_capable
108,SPECIES_CUBONE,EVO_LEVEL_DAY,28,SPECIES_MAROWAK,0,offline_capable
109,SPECIES_CUBONE,EVO_LEVEL_NIGHT,28,SPECIES_MAROWAK_A,0,offline_capable
110,SPECIES_LICKITUNG,EVO_MOVE,MOVE_ROLLOUT,SPECIES_LICKILICKY,0,offline_capable
111,SPECIES_KOFFING,EVO_LEVEL,35,SPECIES_WEEZING,0,offline_capable
112,SPECIES_RHYHORN,EVO_LEVEL,42,SPECIES_RHYDON,0,offline_capable
113,SPECIES_RHYDON,EVO_ITEM,ITEM_PROTECTOR,SPECIES_RHYPERIOR,0,offline_capable
114,SPECIES_RHYDON,EVO_TRADE_ITEM,ITEM_PROTECTOR,SPECIES_RHYPERIOR,0,offline_capable
115,SPECIES_CHANSEY,EVO_FRIENDSHIP,0,SPECIES_BLISSEY,0,offline_capable
116,SPECIES_TANGELA,EVO_MOVE,MOVE_ANCIENTPOWER,SPECIES_TANGROWTH,0,offline_capable
117,SPECIES_KANGASKHAN,EVO_MEGA,ITEM_KANGASKHANITE,SPECIES_KANGASKHAN_MEGA,MEGA_VARIANT_STANDARD,transformation
118,SPECIES_HORSEA,EVO_LEVEL,32,SPECIES_SEADRA,0,offline_capable
119,SPECIES_SEADRA,EVO_TRADE_ITEM,ITEM_DRAGON_SCALE,SPECIES_KINGDRA,0,offline_capable
120,SPECIES_SEADRA,EVO_ITEM,ITEM_DRAGON_SCALE,SPECIES_KINGDRA,0,offline_capable
121,SPECIES_GOLDEEN,EVO_LEVEL,33,SPECIES_SEAKING,0,offline_capable
122,SPECIES_STARYU,EVO_ITEM,ITEM_WATER_STONE,SPECIES_STARMIE,0,offline_capable
123,SPECIES_SCYTHER,EVO_TRADE_ITEM,ITEM_METAL_COAT,SPECIES_SCIZOR,0,offline_capable
124,SPECIES_SCYTHER,EVO_ITEM,ITEM_METAL_COAT,SPECIES_SCIZOR,0,offline_capable
125,SPECIES_SCYTHER,EVO_TRADE_ITEM,ITEM_BLACK_AUGURITE,SPECIES_KLEAVOR,0,offline_capable
126,SPECIES_SCYTHER,EVO_ITEM,ITEM_BLACK_AUGURITE,SPECIES_KLEAVOR,0,offline_capable
127,SPECIES_ELECTABUZZ,EVO_ITEM,ITEM_ELECTIRIZER,SPECIES_ELECTIVIRE,0,offline_capable
128,SPECIES_ELECTABUZZ,EVO_TRADE_ITEM,ITEM_ELECTIRIZER,SPECIES_ELECTIVIRE,0,offline_capable
129,SPECIES_MAGMAR,EVO_TRADE_ITEM,ITEM_MAGMARIZER,SPECIES_MAGMORTAR,0,offline_capable
130,SPECIES_MAGMAR,EVO_ITEM,ITEM_MAGMARIZER,SPECIES_MAGMORTAR,0,offline_capable
131,SPECIES_PINSIR,EVO_MEGA,ITEM_PINSIRITE,SPECIES_PINSIR_MEGA,MEGA_VARIANT_STANDARD,transformation
132,SPECIES_MAGIKARP,EVO_LEVEL,20,SPECIES_GYARADOS,0,offline_capable
133,SPECIES_GYARADOS,EVO_MEGA,ITEM_GYARADOSITE,SPECIES_GYARADOS_MEGA,MEGA_VARIANT_STANDARD,transformation
134,SPECIES_LAPRAS,EVO_GIGANTAMAX,TRUE,SPECIES_LAPRAS_GIGA,0,transformation
135,SPECIES_EEVEE,EVO_FRIENDSHIP_DAY,0,SPECIES_ESPEON,0,offline_capable
136,SPECIES_EEVEE,EVO_FRIENDSHIP_NIGHT,0,SPECIES_UMBREON,0,offline_capable
137,SPECIES_EEVEE,EVO_MOVE_TYPE,TYPE_FAIRY,SPECIES_SYLVEON,TRUE,offline_capable
138,SPECIES_EEVEE,EVO_ITEM,ITEM_FIRE_STONE,SPECIES_FLAREON,0,offline_capable
139,SPECIES_EEVEE,EVO_ITEM,ITEM_THUNDER_STONE,SPECIES_JOLTEON,0,offline_capable
140,SPECIES_EEVEE,EVO_ITEM,ITEM_WATER_STONE,SPECIES_VAPOREON,0,offline_capable
141,SPECIES_EEVEE,EVO_ITEM,ITEM_LEAF_STONE,SPECIES_LEAFEON,0,offline_capable
142,SPECIES_EEVEE,EVO_ITEM,ITEM_ICE_STONE,SPECIES_GLACEON,0,offline_capable
143,SPECIES_EEVEE,EVO_GIGANTAMAX,TRUE,SPECIES_EEVEE_GIGA,0,transformation
144,SPECIES_PORYGON,EVO_ITEM,ITEM_UP_GRADE,SPECIES_PORYGON2,0,offline_capable
145,SPECIES_PORYGON,EVO_TRADE_ITEM,ITEM_UP_GRADE,SPECIES_PORYGON2,0,offline_capable
146,SPECIES_OMANYTE,EVO_LEVEL,40,SPECIES_OMASTAR,0,offline_capable
147,SPECIES_KABUTO,EVO_LEVEL,40,SPECIES_KABUTOPS,0,offline_capable
148,SPECIES_AERODACTYL,EVO_MEGA,ITEM_AERODACTYLITE,SPECIES_AERODACTYL_MEGA,MEGA_VARIANT_STANDARD,transformation
149,SPECIES_SNORLAX,EVO_GIGANTAMAX,TRUE,SPECIES_SNORLAX_GIGA,0,transformation
150,SPECIES_DRATINI,EVO_LEVEL,30,SPECIES_DRAGONAIR,0,offline_capable
151,SPECIES_DRAGONAIR,EVO_LEVEL,55,SPECIES_DRAGONITE,0,offline_capable
152,SPECIES_MEWTWO,EVO_MEGA,ITEM_MEWTWONITE_X,SPECIES_MEWTWO_MEGA_X,MEGA_VARIANT_STANDARD,transformation
153,SPECIES_MEWTWO,EVO_MEGA,ITEM_MEWTWONITE_Y,SPECIES_MEWTWO_MEGA_Y,MEGA_VARIANT_STANDARD,transformation
154,SPECIES_CHIKORITA,EVO_LEVEL,16,SPECIES_BAYLEEF,0,offline_capable
155,SPECIES_BAYLEEF,EVO_LEVEL,32,SPECIES_MEGANIUM,0,offline_capable
156,SPECIES_CYNDAQUIL,EVO_LEVEL,14,SPECIES_QUILAVA,0,offline_capable
157,SPECIES_QUILAVA,EVO_LEVEL,36,SPECIES_TYPHLOSION,0,offline_capable
158,SPECIES_QUILAVA,EVO_LEVEL_HOLD_ITEM,36,SPECIES_TYPHLOSION_H,ITEM_HISUI_ROCK,offline_capable
159,SPECIES_TOTODILE,EVO_LEVEL,18,SPECIES_CROCONAW,0,offline_capable
160,SPECIES_CROCONAW,EVO_LEVEL,30,SPECIES_FERALIGATR,0,offline_capable
161,SPECIES_SENTRET,EVO_LEVEL,15,SPECIES_FURRET,0,offline_capable
162,SPECIES_HOOTHOOT,EVO_LEVEL,20,SPECIES_NOCTOWL,0,offline_capable
163,SPECIES_LEDYBA,EVO_LEVEL,18,SPECIES_LEDIAN,0,offline_capable
164,SPECIES_SPINARAK,EVO_LEVEL,22,SPECIES_ARIADOS,0,offline_capable
165,SPECIES_CHINCHOU,EVO_LEVEL,27,SPECIES_LANTURN,0,offline_capable
166,SPECIES_PICHU,EVO_FRIENDSHIP,0,SPECIES_PIKACHU,0,offline_capable
167,SPECIES_CLEFFA,EVO_FRIENDSHIP,0,SPECIES_CLEFAIRY,0,offline_capable
168,SPECIES_IGGLYBUFF,EVO_FRIENDSHIP,0,SPECIES_JIGGLYPUFF,0,offline_capable
169,SPECIES_TOGEPI,EVO_FRIENDSHIP,0,SPECIES_TOGETIC,0,offline_capable
170,SPECIES_TOGETIC,EVO_ITEM,ITEM_SHINY_STONE,SPECIES_TOGEKISS,0,offline_capable
171,SPECIES_NATU,EVO_LEVEL,25,SPECIES_XATU,0,offline_capable
172,SPECIES_MAREEP,EVO_LEVEL,15,SPECIES_FLAAFFY,0,offline_capable
173,SPECIES_FLAAFFY,EVO_LEVEL,30,SPECIES_AMPHAROS,0,offline_capable
174,SPECIES_AMPHAROS,EVO_MEGA,ITEM_AMPHAROSITE,SPECIES_AMPHAROS_MEGA,MEGA_VARIANT_STANDARD,transformation
175,SPECIES_MARILL,EVO_LEVEL,18,SPECIES_AZUMARILL,0,offline_capable
176,SPECIES_HOPPIP,EVO_LEVEL,18,SPECIES_SKIPLOOM,0,offline_capable
177,SPECIES_SKIPLOOM,EVO_LEVEL,27,SPECIES_JUMPLUFF,0,offline_capable
178,SPECIES_AIPOM,EVO_MOVE,MOVE_DOUBLEHIT,SPECIES_AMBIPOM,0,offline_capable
179,SPECIES_SUNKERN,EVO_ITEM,ITEM_SUN_STONE,SPECIES_SUNFLORA,0,offline_capable
180,SPECIES_YANMA,EVO_MOVE,MOVE_ANCIENTPOWER,SPECIES_YANMEGA,0,offline_capable
181,SPECIES_WOOPER,EVO_LEVEL,20,SPECIES_QUAGSIRE,0,offline_capable
182,SPECIES_MURKROW,EVO_ITEM,ITEM_DUSK_STONE,SPECIES_HONCHKROW,0,offline_capable
183,SPECIES_MISDREAVUS,EVO_ITEM,ITEM_DUSK_STONE,SPECIES_MISMAGIUS,0,offline_capable
184,SPECIES_GIRAFARIG,EVO_MOVE,MOVE_TWINBEAM,SPECIES_FARIGIRAF,0,offline_capable
185,SPECIES_PINECO,EVO_LEVEL,31,SPECIES_FORRETRESS,0,offline_capable
186,SPECIES_DUNSPARCE,EVO_MOVE,MOVE_HYPERDRILL,SPECIES_DUDUNSPARCE,0,offline_capable
187,SPECIES_DUNSPARCE,EVO_MOVE,MOVE_HYPERDRILL,SPECIES_DUDUNSPARCE_THREE,100,offline_capable
188,SPECIES_GLIGAR,EVO_HOLD_ITEM_NIGHT,ITEM_RAZOR_FANG,SPECIES_GLISCOR,0,offline_capable
189,SPECIES_STEELIX,EVO_MEGA,ITEM_STEELIXITE,SPECIES_STEELIX_MEGA,MEGA_VARIANT_STANDARD,transformation
190,SPECIES_SNUBBULL,EVO_LEVEL,23,SPECIES_GRANBULL,0,offline_capable
191,SPECIES_SCIZOR,EVO_MEGA,ITEM_SCIZORITE,SPECIES_SCIZOR_MEGA,MEGA_VARIANT_STANDARD,transformation
192,SPECIES_HERACROSS,EVO_MEGA,ITEM_HERACRONITE,SPECIES_HERACROSS_MEGA,MEGA_VARIANT_STANDARD,transformation
193,SPECIES_SNEASEL,EVO_HOLD_ITEM_NIGHT,ITEM_RAZOR_CLAW,SPECIES_WEAVILE,0,offline_capable
194,SPECIES_TEDDIURSA,EVO_LEVEL,30,SPECIES_URSARING,0,offline_capable
195,SPECIES_URSARING,EVO_ITEM_NIGHT,ITEM_PEAT_BLOCK,SPECIES_URSALUNA,0,offline_capable
196,SPECIES_SLUGMA,EVO_LEVEL,30,SPECIES_MAGCARGO,0,offline_capable
197,SPECIES_SWINUB,EVO_LEVEL,33,SPECIES_PILOSWINE,0,offline_capable
198,SPECIES_PILOSWINE,EVO_MOVE,MOVE_ANCIENTPOWER,SPECIES_MAMOSWINE,0,offline_capable
199,SPECIES_REMORAID,EVO_LEVEL,25,SPECIES_OCTILLERY,0,offline_capable
200,SPECIES_HOUNDOUR,EVO_LEVEL,24,SPECIES_HOUNDOOM,0,offline_capable
201,SPECIES_HOUNDOOM,EVO_MEGA,ITEM_HOUNDOOMINITE,SPECIES_HOUNDOOM_MEGA,MEGA_VARIANT_STANDARD,transformation
202,SPECIES_PHANPY,EVO_LEVEL,25,SPECIES_DONPHAN,0,offline_capable
203,SPECIES_PORYGON2,EVO_TRADE_ITEM,ITEM_DUBIOUS_DISC,SPECIES_PORYGON_Z,0,offline_capable
204,SPECIES_PORYGON2,EVO_ITEM,ITEM_DUBIOUS_DISC,SPECIES_PORYGON_Z,0,offline_capable
205,SPECIES_STANTLER,EVO_MOVE,MOVE_PSYSHIELDBASH,SPECIES_WYRDEER,0,offline_capable
206,SPECIES_TYROGUE,EVO_LEVEL_ATK_GT_DEF,20,SPECIES_HITMONLEE,0,offline_capable
207,SPECIES_TYROGUE,EVO_LEVEL_ATK_EQ_DEF,20,SPECIES_HITMONTOP,0,offline_capable
208,SPECIES_TYROGUE,EVO_LEVEL_ATK_LT_DEF,20,SPECIES_HITMONCHAN,0,offline_capable
209,SPECIES_SMOOCHUM,EVO_LEVEL,30,SPECIES_JYNX,0,offline_capable
210,SPECIES_ELEKID,EVO_LEVEL,30,SPECIES_ELECTABUZZ,0,offline_capable
211,SPECIES_MAGBY,EVO_LEVEL,30,SPECIES_MAGMAR,0,offline_capable
212,SPECIES_LARVITAR,EVO_LEVEL,30,SPECIES_PUPITAR,0,offline_capable
213,SPECIES_PUPITAR,EVO_LEVEL,48,SPECIES_TYRANITAR,0,offline_capable
214,SPECIES_TYRANITAR,EVO_MEGA,ITEM_TYRANITARITE,SPECIES_TYRANITAR_MEGA,MEGA_VARIANT_STANDARD,transformation
215,SPECIES_TREECKO,EVO_LEVEL,16,SPECIES_GROVYLE,0,offline_capable
216,SPECIES_GROVYLE,EVO_LEVEL,36,SPECIES_SCEPTILE,0,offline_capable
217,SPECIES_SCEPTILE,EVO_MEGA,ITEM_SCEPTILITE,SPECIES_SCEPTILE_MEGA,MEGA_VARIANT_STANDARD,transformation
218,SPECIES_TORCHIC,EVO_LEVEL,16,SPECIES_COMBUSKEN,0,offline_capable
219,SPECIES_COMBUSKEN,EVO_LEVEL,36,SPECIES_BLAZIKEN,0,offline_capable
220,SPECIES_BLAZIKEN,EVO_MEGA,ITEM_BLAZIKENITE,SPECIES_BLAZIKEN_MEGA,MEGA_VARIANT_STANDARD,transformation
221,SPECIES_MUDKIP,EVO_LEVEL,16,SPECIES_MARSHTOMP,0,offline_capable
222,SPECIES_MARSHTOMP,EVO_LEVEL,36,SPECIES_SWAMPERT,0,offline_capable
223,SPECIES_SWAMPERT,EVO_MEGA,ITEM_SWAMPERTITE,SPECIES_SWAMPERT_MEGA,MEGA_VARIANT_STANDARD,transformation
224,SPECIES_POOCHYENA,EVO_LEVEL,18,SPECIES_MIGHTYENA,0,offline_capable
225,SPECIES_ZIGZAGOON,EVO_LEVEL,20,SPECIES_LINOONE,0,offline_capable
226,SPECIES_WURMPLE,EVO_LEVEL_SILCOON,7,SPECIES_SILCOON,0,offline_capable
227,SPECIES_WURMPLE,EVO_LEVEL_CASCOON,7,SPECIES_CASCOON,0,offline_capable
228,SPECIES_SILCOON,EVO_LEVEL,10,SPECIES_BEAUTIFLY,0,offline_capable
229,SPECIES_CASCOON,EVO_LEVEL,10,SPECIES_DUSTOX,0,offline_capable
230,SPECIES_LOTAD,EVO_LEVEL,14,SPECIES_LOMBRE,0,offline_capable
231,SPECIES_LOMBRE,EVO_ITEM,ITEM_WATER_STONE,SPECIES_LUDICOLO,0,offline_capable
232,SPECIES_SEEDOT,EVO_LEVEL,14,SPECIES_NUZLEAF,0,offline_capable
233,SPECIES_NUZLEAF,EVO_ITEM,ITEM_LEAF_STONE,SPECIES_SHIFTRY,0,offline_capable
234,SPECIES_NINCADA,EVO_LEVEL_NINJASK,20,SPECIES_NINJASK,0,offline_capable
235,SPECIES_NINCADA,EVO_LEVEL_SHEDINJA,20,SPECIES_SHEDINJA,0,offline_capable
236,SPECIES_TAILLOW,EVO_LEVEL,22,SPECIES_SWELLOW,0,offline_capable
237,SPECIES_SHROOMISH,EVO_LEVEL,23,SPECIES_BRELOOM,0,offline_capable
238,SPECIES_WINGULL,EVO_LEVEL,25,SPECIES_PELIPPER,0,offline_capable
239,SPECIES_SURSKIT,EVO_LEVEL,22,SPECIES_MASQUERAIN,0,offline_capable
240,SPECIES_WAILMER,EVO_LEVEL,40,SPECIES_WAILORD,0,offline_capable
241,SPECIES_SKITTY,EVO_ITEM,ITEM_MOON_STONE,SPECIES_DELCATTY,0,offline_capable
242,SPECIES_BALTOY,EVO_LEVEL,36,SPECIES_CLAYDOL,0,offline_capable
