species,form,acquisition_method,map,encounter_type,badge_requirement,rate,evolution_source,quest,notes
SPECIES_ZIGZAGOON,,wild,ROUTE_1,land,0,table slot,,,morning; levels 2-3
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_MONEAN_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_LIPTOO_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_WEEPTH_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_DILFORD_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_SCUFIB_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_RIXY_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,20,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,10,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,5,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,4,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_UNOWN,,wild,SEVEN_ISLAND_TANOBY_RUINS_VIAPOIS_CHAMBER,land,varies,1,,,stock FireRed; levels 25-25
SPECIES_CATERPIE,,wild,VIRIDIAN_FOREST,land,varies,20,,,stock FireRed; levels 4-4
SPECIES_WEEDLE,,wild,VIRIDIAN_FOREST,land,varies,20,,,stock FireRed; levels 4-4
SPECIES_CATERPIE,,wild,VIRIDIAN_FOREST,land,varies,10,,,stock FireRed; levels 5-5
SPECIES_WEEDLE,,wild,VIRIDIAN_FOREST,land,varies,10,,,stock FireRed; levels 5-5
SPECIES_CATERPIE,,wild,VIRIDIAN_FOREST,land,varies,10,,,stock FireRed; levels 3-3
SPECIES_WEEDLE,,wild,VIRIDIAN_FOREST,land,varies,10,,,stock FireRed; levels 3-3
SPECIES_METAPOD,,wild,VIRIDIAN_FOREST,land,varies,5,,,stock FireRed; levels 5-5
SPECIES_KAKUNA,,wild,VIRIDIAN_FOREST,land,varies,5,,,stock FireRed; levels 5-5
SPECIES_KAKUNA,,wild,VIRIDIAN_FOREST,land,varies,4,,,stock FireRed; levels 4-4
SPECIES_PIKACHU,,wild,VIRIDIAN_FOREST,land,varies,4,,,stock FireRed; levels 3-3
SPECIES_KAKUNA,,wild,VIRIDIAN_FOREST,land,varies,1,,,stock FireRed; levels 6-6
SPECIES_PIKACHU,,wild,VIRIDIAN_FOREST,land,varies,1,,,stock FireRed; levels 5-5
SPECIES_ZUBAT,,wild,MT_MOON_1F,land,varies,20,,,stock FireRed; levels 7-7
SPECIES_ZUBAT,,wild,MT_MOON_1F,land,varies,20,,,stock FireRed; levels 8-8
SPECIES_GEODUDE,,wild,MT_MOON_1F,land,varies,10,,,stock FireRed; levels 7-7
SPECIES_ZUBAT,,wild,MT_MOON_1F,land,varies,10,,,stock FireRed; levels 9-9
SPECIES_ZUBAT,,wild,MT_MOON_1F,land,varies,10,,,stock FireRed; levels 10-10
SPECIES_GEODUDE,,wild,MT_MOON_1F,land,varies,10,,,stock FireRed; levels 8-8
SPECIES_GEODUDE,,wild,MT_MOON_1F,land,varies,5,,,stock FireRed; levels 9-9
SPECIES_PARAS,,wild,MT_MOON_1F,land,varies,5,,,stock FireRed; levels 8-8
SPECIES_ZUBAT,,wild,MT_MOON_1F,land,varies,4,,,stock FireRed; levels 7-7
SPECIES_ZUBAT,,wild,MT_MOON_1F,land,varies,4,,,stock FireRed; levels 7-7
SPECIES_ZUBAT,,wild,MT_MOON_1F,land,varies,1,,,stock FireRed; levels 7-7
SPECIES_CLEFAIRY,,wild,MT_MOON_1F,land,varies,1,,,stock FireRed; levels 8-8
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,20,,,stock FireRed; levels 7-7
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,20,,,stock FireRed; levels 8-8
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,10,,,stock FireRed; levels 5-5
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,10,,,stock FireRed; levels 6-6
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,10,,,stock FireRed; levels 9-9
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,10,,,stock FireRed; levels 10-10
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,5,,,stock FireRed; levels 7-7
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,5,,,stock FireRed; levels 8-8
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,4,,,stock FireRed; levels 5-5
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,4,,,stock FireRed; levels 6-6
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,1,,,stock FireRed; levels 9-9
SPECIES_PARAS,,wild,MT_MOON_B1F,land,varies,1,,,stock FireRed; levels 10-10
SPECIES_ZUBAT,,wild,MT_MOON_B2F,land,varies,20,,,stock FireRed; levels 8-8
SPECIES_GEODUDE,,wild,MT_MOON_B2F,land,varies,20,,,stock FireRed; levels 9-9
SPECIES_ZUBAT,,wild,MT_MOON_B2F,land,varies,10,,,stock FireRed; levels 9-9
SPECIES_ZUBAT,,wild,MT_MOON_B2F,land,varies,10,,,stock FireRed; levels 10-10
SPECIES_GEODUDE,,wild,MT_MOON_B2F,land,varies,10,,,stock FireRed; levels 10-10
SPECIES_PARAS,,wild,MT_MOON_B2F,land,varies,10,,,stock FireRed; levels 10-10
SPECIES_PARAS,,wild,MT_MOON_B2F,land,varies,5,,,stock FireRed; levels 12-12
SPECIES_CLEFAIRY,,wild,MT_MOON_B2F,land,varies,5,,,stock FireRed; levels 10-10
SPECIES_ZUBAT,,wild,MT_MOON_B2F,land,varies,4,,,stock FireRed; levels 11-11
SPECIES_ZUBAT,,wild,MT_MOON_B2F,land,varies,4,,,stock FireRed; levels 11-11
SPECIES_ZUBAT,,wild,MT_MOON_B2F,land,varies,1,,,stock FireRed; levels 11-11
SPECIES_CLEFAIRY,,wild,MT_MOON_B2F,land,varies,1,,,stock FireRed; levels 12-12
SPECIES_TENTACOOL,,wild,SSANNE_EXTERIOR,water,varies,60,,,stock FireRed; levels 5-10
SPECIES_TENTACOOL,,wild,SSANNE_EXTERIOR,water,varies,30,,,stock FireRed; levels 10-20
SPECIES_TENTACOOL,,wild,SSANNE_EXTERIOR,water,varies,5,,,stock FireRed; levels 20-30
SPECIES_TENTACOOL,,wild,SSANNE_EXTERIOR,water,varies,4,,,stock FireRed; levels 30-35
SPECIES_TENTACOOL,,wild,SSANNE_EXTERIOR,water,varies,1,,,stock FireRed; levels 35-40
SPECIES_MAGIKARP,,wild,SSANNE_EXTERIOR,fishing,varies,70,,,stock FireRed; levels 5-5
SPECIES_MAGIKARP,,wild,SSANNE_EXTERIOR,fishing,varies,30,,,stock FireRed; levels 5-5
SPECIES_HORSEA,,wild,SSANNE_EXTERIOR,fishing,varies,60,,,stock FireRed; levels 5-15
SPECIES_MAGIKARP,,wild,SSANNE_EXTERIOR,fishing,varies,20,,,stock FireRed; levels 5-15
SPECIES_KRABBY,,wild,SSANNE_EXTERIOR,fishing,varies,20,,,stock FireRed; levels 5-15
SPECIES_HORSEA,,wild,SSANNE_EXTERIOR,fishing,varies,40,,,stock FireRed; levels 15-25
SPECIES_SHELLDER,,wild,SSANNE_EXTERIOR,fishing,varies,40,,,stock FireRed; levels 15-25
SPECIES_GYARADOS,,wild,SSANNE_EXTERIOR,fishing,varies,15,,,stock FireRed; levels 15-25
SPECIES_HORSEA,,wild,SSANNE_EXTERIOR,fishing,varies,4,,,stock FireRed; levels 25-35
SPECIES_PSYDUCK,,wild,SSANNE_EXTERIOR,fishing,varies,1,,,stock FireRed; levels 25-35
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,20,,,stock FireRed; levels 18-18
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,20,,,stock FireRed; levels 19-19
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,10,,,stock FireRed; levels 17-17
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,10,,,stock FireRed; levels 15-15
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,10,,,stock FireRed; levels 16-16
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,10,,,stock FireRed; levels 20-20
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,5,,,stock FireRed; levels 21-21
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,5,,,stock FireRed; levels 22-22
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,4,,,stock FireRed; levels 17-17
SPECIES_DUGTRIO,,wild,DIGLETTS_CAVE_B1F,land,varies,4,,,stock FireRed; levels 29-29
SPECIES_DIGLETT,,wild,DIGLETTS_CAVE_B1F,land,varies,1,,,stock FireRed; levels 17-17
SPECIES_DUGTRIO,,wild,DIGLETTS_CAVE_B1F,land,varies,1,,,stock FireRed; levels 31-31
SPECIES_MACHOP,,wild,VICTORY_ROAD_1F,land,varies,20,,,stock FireRed; levels 32-32
SPECIES_GEODUDE,,wild,VICTORY_ROAD_1F,land,varies,20,,,stock FireRed; levels 32-32
SPECIES_ONIX,,wild,VICTORY_ROAD_1F,land,varies,10,,,stock FireRed; levels 40-40
SPECIES_ONIX,,wild,VICTORY_ROAD_1F,land,varies,10,,,stock FireRed; levels 43-43
SPECIES_ONIX,,wild,VICTORY_ROAD_1F,land,varies,10,,,stock FireRed; levels 46-46
SPECIES_ZUBAT,,wild,VICTORY_ROAD_1F,land,varies,10,,,stock FireRed; levels 32-32
SPECIES_ARBOK,,wild,VICTORY_ROAD_1F,land,varies,5,,,stock FireRed; levels 44-44
SPECIES_GOLBAT,,wild,VICTORY_ROAD_1F,land,varies,5,,,stock FireRed; levels 44-44
SPECIES_MAROWAK,,wild,VICTORY_ROAD_1F,land,varies,4,,,stock FireRed; levels 44-44
SPECIES_MACHOKE,,wild,VICTORY_ROAD_1F,land,varies,4,,,stock FireRed; levels 44-44
SPECIES_MACHOKE,,wild,VICTORY_ROAD_1F,land,varies,1,,,stock FireRed; levels 46-46
SPECIES_MAROWAK,,wild,VICTORY_ROAD_1F,land,varies,1,,,stock FireRed; levels 46-46
SPECIES_MACHOP,,wild,VICTORY_ROAD_2F,land,varies,20,,,stock FireRed; levels 34-34
SPECIES_GEODUDE,,wild,VICTORY_ROAD_2F,land,varies,20,,,stock FireRed; levels 34-34
SPECIES_PRIMEAPE,,wild,VICTORY_ROAD_2F,land,varies,10,,,stock FireRed; levels 42-42
SPECIES_ONIX,,wild,VICTORY_ROAD_2F,land,varies,10,,,stock FireRed; levels 45-45
SPECIES_ONIX,,wild,VICTORY_ROAD_2F,land,varies,10,,,stock FireRed; levels 48-48
SPECIES_ZUBAT,,wild,VICTORY_ROAD_2F,land,varies,10,,,stock FireRed; levels 34-34
SPECIES_ARBOK,,wild,VICTORY_ROAD_2F,land,varies,5,,,stock FireRed; levels 46-46
SPECIES_GOLBAT,,wild,VICTORY_ROAD_2F,land,varies,5,,,stock FireRed; levels 46-46
SPECIES_MAROWAK,,wild,VICTORY_ROAD_2F,land,varies,4,,,stock FireRed; levels 46-46
SPECIES_MACHOKE,,wild,VICTORY_ROAD_2F,land,varies,4,,,stock FireRed; levels 46-46
SPECIES_MACHOKE,,wild,VICTORY_ROAD_2F,land,varies,1,,,stock FireRed; levels 48-48
SPECIES_MAROWAK,,wild,VICTORY_ROAD_2F,land,varies,1,,,stock FireRed; levels 48-48
SPECIES_MACHOP,,wild,VICTORY_ROAD_3F,land,varies,20,,,stock FireRed; levels 32-32
SPECIES_GEODUDE,,wild,VICTORY_ROAD_3F,land,varies,20,,,stock FireRed; levels 32-32
